2026-02-22 17:18:39,184 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:19:11,214 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:19:41,265 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:20:13,334 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:20:43,383 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:21:15,413 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:21:45,464 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:22:17,533 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:22:47,582 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:23:19,614 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:23:49,665 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:24:21,732 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:24:51,781 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:25:23,810 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:25:53,859 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:26:25,929 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:26:55,979 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:27:28,010 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:27:58,059 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:28:30,130 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:29:00,180 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:29:32,209 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:30:02,260 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:30:34,330 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:31:04,379 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:31:36,409 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:32:06,459 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:32:38,528 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:33:08,580 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:33:40,626 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:34:10,675 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:34:42,726 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:35:12,775 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:35:44,807 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:36:14,856 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:36:46,946 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:37:16,996 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:37:49,026 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:38:19,076 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:38:51,124 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:39:21,172 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:39:53,224 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:40:23,274 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:40:55,343 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:41:25,393 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:41:57,423 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:42:27,473 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:42:59,524 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:43:29,574 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:44:01,621 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:44:31,672 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:45:03,721 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:45:33,773 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:46:05,802 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:46:35,852 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:47:07,920 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:47:37,970 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:48:10,001 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:48:40,051 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:49:12,119 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:49:42,170 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:50:14,220 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:50:44,271 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:51:16,319 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:51:46,370 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:52:18,398 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:52:48,449 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:53:20,519 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:53:50,568 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:54:22,596 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:54:52,646 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:55:24,716 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:55:54,766 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:56:26,815 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
2026-02-22 17:56:56,866 | WARNING | detector | [cam-entrance-01] OpenCV RTSP read failed. Reconnecting...
2026-02-22 17:57:28,915 | INFO | detector | [cam-entrance-01] OpenCV RTSP connected.
